year,facility,location,frequency,churchClergy,CMDMClergy,notes,lon,lat
1875,Grace Church,"Cleveland, OH",1,unlisted,Mann,Occasional services,-81.6943605,41.49932
1875,"unnamed, likely to be Grace Church","Cleveland, OH",2,unlisted,"Mann, Gallaudet",at least twice,-81.6943605,41.49932
1875,Trinity Church,"Columbus, OH",1,unlisted,Mann,Occasional services,-82.9987942,39.9611755
1875,Christ Church,"Detroit, MI",1,unlisted,"Mann, Gallaudet",Occasional services,-83.0457538,42.331427
1875,St. Paul's Church,"Erie, PA",1,unlisted,Mann,Occasional services,-80.085059,42.1292241
1875,St. Paul's Church,"Flint, MI",2,"Rev. Marcus Lane, rector","Mann, Gallaudet",In November and June Gallaudet traveled to Michigan with Mann and preached in various places. At least twice.,-83.6874562,43.0125274
1875,"unnamed, likely to be St. Mark's Church","Grand Rapids, MI",2,unlisted,"Mann, Gallaudet",at least twice,-85.6680863,42.9633599
1875,St. Andrew's Church,"Harlem, NY",1,unlisted,Mann,Occasional services,-73.9464769,40.8115504
1875,St. Paul's Church,"Jackson, MI",1,unlisted,Mann,Occasional services,-84.4013462,42.245869
1875,"unnamed, likely to be St. Paul's Church","Jackson, MI",2,unlisted,"Mann, Gallaudet",at least twice,-84.4013462,42.245869
1875,Grace Church,"Mexico, NY",1,unlisted,Mann,Occasional services,-76.2288176,43.4595138
1875,"unnamed, likely to be All Saint's Cathedral","Milwaukee, WI",2,unlisted,"Mann, Gallaudet",at least twice,-87.9064736,43.0389025
1875,St. Mary's Church,"Mott Haven, NY",1,unlisted,Mann,Occasional services,-73.9228881,40.8091068
1875,St. Paul's Church,"New Haven, CT",52,"Rev.  Lobdell, rector","Beecher, Leek, (bible classes) Gallaudet (1)","bible class, occasional services",-72.9278835,41.308274
1875,St. Ann's Church,"New York City, NY",52,"Thomas Gallaudet, John Chamberlain","Gallaudet, Chamberlain",unclear how often,-74.0059413,40.7127837
1875,Christ Church,"Newark, NJ",1,unlisted,Mann,Occasional services,-74.1723667,40.735657
1875,St. Stephen's Church,"Newark, NJ",1,unlisted,Mann,Occasional services,-74.1723667,40.735657
1875,Trinity Church,"Newark, NJ",1,unlisted,Mann,Occasional services,-74.1723667,40.735657
1875,Christ Church,"Newton, NJ",1,unlisted,Mann,Occasional services,-74.7526651,41.0581527
1875,Christ Church,"Norwich, CT",1,unlisted,Mann,Occasional services,-72.0759105,41.5242649
1875,St. Stephen's Church,"Philadelphia, PA",1,"Rev.  Rutter, rector","Gallaudet, Chamberlain, Clerc, Syle","regularly held for most of the year, Sunday afternoon",-75.1652215,39.9525839
1875,Trinity Church,"Pittsburg, PA",1,unlisted,Mann,Occasional services,-79.9958864,40.4406248
1875,Trinity Church,"Potsdam, NY",1,unlisted,Mann,Occasional services,-74.9813084,44.6697805
1875,Grace Church,"Providence, RI",1,unlisted,Mann,Occasional services,-71.4128343,41.8239891
1875,St. Luke's Church,"Rochester, NY",52,"Rev.  Anstice, rector","Acker,  P. Hart (hearing, sometimes interpreted services in church)",unclear how often,-77.6109219,43.16103
1875,St. Mark's Church,"Tarrytown, NY",1,unlisted,Mann,Occasional services,-73.8587461,41.0762077
1875,St. Paul's Chapel,"Troy, NY",12,Rev. Walker Gwynne ,Berry,began services here (also occasional services in other places),-73.6917851,42.7284117
1875,St. Mark's Church,"Washington, DC",1,unlisted,Mann,Occasional services,-77.0368707,38.9071923
1875,Trinity Chruch,"Watertown, NY",1,unlisted,Mann,Occasional services,-75.9107565,43.9747838
1875,St. Matthew's Church,"Wheeling, WV",1,unlisted,Mann,Occasional services,-80.7209149,40.0639616
1877,St. Paul's Church,"Albany, NY",52,"Rev.  Reese, rector","Gallaudet (5), Berry","Berry interpreted services Friday afternoons, moved to Fond-Du-Lac",-73.7562317,42.6525793
1877,Grace Church,"Allentown, PA",48,"Rev.  Stewart, Pastor","Roberts (regular services), Chamberlain (2)","weekly, but missed several due to illness",-75.4901833,40.6084305
1877,unnamed Church,"Augusta, ME",1,unlisted,Turner,unclear how often,-69.7794897,44.3106241
1877,Grace Church,"Baltimore, MD",12,"Rev.  Leeds, rector","Chamberlain (3), Syle",monthly,-76.6121893,39.2903848
1877,unnamed Church,"Bath, ME",1,unlisted,Turner,unclear how often,-69.8206023,43.9106353
1877,unnamed Church,"Belfast, ME",1,unlisted,Turner,unclear how often,-69.0064234,44.4259092
1877,Church of the Good Shepherd,"Boston, MA",6,unlisted,"Gallaudet (3), Chamberlain (3)",unclear how often,-71.060097,42.3584865
1877,unnamed Church,"Boston, MA",4,unlisted,Turner,unclear how often,-71.060097,42.3584865
1877,St. Paul's Church,"Boston, MA",1,unlisted,Gallaudet,unclear how often,-71.060097,42.3584865
1877,St. Paul's Church,"Bridgeport, CT",1,unlisted,Chamberlain,unclear how often,-73.1951767,41.1865478
1877,Church of the Redeemer,"Brooklyn, NY",1,unlisted,Gallaudet,at least one service,-73.9441579,40.6781784
1877,St. Luke's Church,"Brooklyn, NY",1,unlisted,Gallaudet,at least one service,-73.9441579,40.6781784
1877,St. Mary's Church,"Brooklyn, NY",12,unlisted,"Gallaudet (5), Chamberlain (4), James Lewis (layreader)",unclear how often,-73.9441579,40.6781784
1877,St. John's Church,"Cambridge, MA",2,unlisted,"Gallaudet (1), Turner (1)",at least twice,-71.1097335,42.3736158
1877,St. Peter's Church,"Cambridgeport, MA",4,unlisted,Gallaudet,unclear how often,-71.1077157,42.3595761
1877,St. James' Church,"Chicago, IL",6,unlisted,"Mann, Gallaudet",unclear how often,-87.6297982,41.8781136
1877,St. John's Church,"Cincinnati, OH",3,"Rev.  Morgan, rector","Mann, Gallaudet, McGregor (lay services)",unclear how often,-84.5120196,39.1031182
1877,Grace Church,"Cleveland, OH",11,unlisted,"Mann, Gallaudet",unclear how often,-81.6943605,41.49932
1877,Trinity Church,"Columbus, OH",1,unlisted,"Mann, Gallaudet",Occasional services,-82.9987942,39.9611755
1877,St. Paul's Church,"Concord, NH",3,unlisted,Turner,unclear how often,-71.5375718,43.2081366
1877,unnamed Church,"Damariscotta, ME",1,unlisted,Turner,unclear how often,-69.5188884,44.0328765
1877,Christ Church,"Dayton, OH",1,unlisted,"Mann, Gallaudet",Occasional services,-84.1916069,39.7589478
1877,Christ Church,"Delavan, WI",1,unlisted,"Mann, Gallaudet",Occasional services,-88.6437138,42.6330703
1877,St. Peter's Church,"Delaware, OH",3,unlisted,"Mann, Gallaudet",unclear how often,-83.067965,40.2986724
1877,St. John's Church,"Detroit, MI",3,unlisted,"Mann, Gallaudet",unclear how often,-83.0457538,42.331427
1877,Grace Church,"Elmira, NY",2,"Rev.  Hoskins, rector",Gallaudet,unclear how often,-76.8077338,42.0897965
1877,unnamed Church,"Fall River, MA",4,unlisted,Turner,unclear how often,-71.1550451,41.7014912
1877,St. Paul's Church,"Flint, MI",3,unlisted,"Mann, Gallaudet",unclear how often,-83.6874562,43.0125274
1877,St. Mark's Church,"Grand Rapids, MI",1,unlisted,"Mann, Gallaudet",Occasional services ,-85.6680863,42.9633599
1877,Trinity Church,"Granville, NY",1,"Rev. ThomasBerry, rector",Berry,unclear how often,-73.259553,43.4078495
1877,Christ Chruch,"Indianapolis, IN",1,unlisted,"Mann, Gallaudet",Occasional services,-86.158068,39.768403
1877,St. Paul's Church,"Jackson, MI",6,unlisted,Mann,unclear how often,-84.4013462,42.245869
1877,Grace Church,"Jersey City, NJ",1,unlisted,Lewis,unclear how often,-74.0776417,40.7281575
1877,unnamed Church,"Lewiston, ME",1,unlisted,Turner,unclear how often,-70.2147764,44.100351
1877,Christ Church,"Louisville, KY",1,unlisted,"Mann, Gallaudet",Occasional services,-85.7584557,38.2526647
1877,St. Michael's Church,"Marblehead, MA",4,unlisted,Gallaudet,several times - at least 4,-70.8578024,42.4999582
1877,unnamed Church,"Martha's Vineyard, MA",1,unlisted,Turner,unclear how often,-70.645473,41.3804981
1877,Grace Church,"Mexico, NY",1,unlisted,Mann,unclear how often,-76.2288176,43.4595138
1877,All Saint's Cathedral,"Milwaukee, WI",3,unlisted,"Mann, Gallaudet",unclear how often,-87.9064736,43.0389025
1877,St. Mary's Church,"Mott Haven, NY",2,unlisted,"Gallaudet, Chamberlain ",at least 2 services,-73.9228881,40.8091068
1877,St. John's Church,"Nantucket, MA",1,unlisted,Gallaudet,at least one service,-70.099451,41.2834704
1877,unnamed Church,"Nashua, NH",1,unlisted,Turner,unclear how often,-71.467566,42.7653662
1877,St. Ann's Church,"New York City, NY",52,"Thomas Gallaudet, John Chamberlain","Gallaudet, Chamberlain, Berry (1), Syle (1)",Gallaudet and Chamberlain led services 26 times each.,-74.0059413,40.7127837
1877,unnamed Church,"New York City, NY",3,unlisted,Turner,unclear how often,-74.0059413,40.7127837
1877,unnamed Church,"Newport, RI",1,unlisted,Turner,unclear how often,-71.3128285,41.4901024
1877,St. Paul's Chuch ,"Newport, KY",1,unlisted,"Mann, Gallaudet",Occasional services,-84.4957757,39.091449
1877,Park Congregational Church,"Norwich, CT",2,unlisted,"Gallaudet (1), Turner (1)",unclear how often,-72.0759105,41.5242649
1877,unnamed Church,"Oswego, NY",1,unlisted,Turner,unclear how often,-76.5104973,43.4553461
1877,unnamed Church,"Pawtucket, RI",1,unlisted,Turner,unclear how often,-71.3825558,41.878711
1877,St. Stephen's Church,"Philadelphia, PA",53,"Rev.  Rutter, rector","Gallaudet (3), Chamberlain (2), Clerc, Syle",Syle takes control of this mission,-75.1652215,39.9525839
1877,St. John's Church,"Phillipsburg, PA",1,unlisted,Clerc,Occasional services,-80.2714505,40.6872885
1877,Trinity Church,"Pittsburg, PA",2,"Rev.  Hitchcock, rector","Mann, Gallaudet",unclear how often,-79.9958864,40.4406248
1877,St. Luke's Cathedral,"Portland, ME",1,unlisted,Turner,Turner requests to move to the South for health reasons,-70.2553259,43.661471
1877,Trinity Church,"Potsdam, NY",5,unlisted,Pennell,unclear how often,-74.9813084,44.6697805
1877,Grace Church,"Providence, RI",4,unlisted,Turner,unclear how often,-71.4128343,41.8239891
1877,St. James Church,"Pulaski, NY",1,unlisted,"Gallaudet, Mann",Occasional services,-76.1277027,43.5670136
1877,Chapel of Racine College,"Racine, WI",1,unlisted,"Mann, Gallaudet",Occasional services,-87.7828523,42.7261309
1877,St. Paul's Church,"Racine, WI",1,unlisted,"Mann, Gallaudet",Occasional services,-87.7828523,42.7261309
1877,St. Barnabas' Church,"Reading, PA",1,unlisted,Chamberlain,unclear how often,-75.9268747,40.3356483
1877,St. Luke's Church,"Rochester, NY",52,Rev.  Anstice,"Pratt, Acker (layreader), Gallaudet, Mann",unclear how often,-77.6109219,43.16103
1877,Zion Church,"Rome, NY",1,unlisted,"Gallaudet, Mann",Occasional services,-75.4557303,43.2128473
1877,Trinity Church,"Saco, ME",3,unlisted,Turner,unclear how often,-70.4428286,43.5009176
1877,St. Peter's Church,"Salem,",1,unlisted,Gallaudet,several times,-70.8967155,42.51954
1877,St. Paul's Church,"Troy, NY",12,unlisted,Berry,unclear how often,-73.6917851,42.7284117
1877,St. Mark's Church,"Washington, DC",1,unlisted,Chamberlain,unclear how often,-77.0368707,38.9071923
1877,Church of the Intercession,"Washington Heights, New York",3,"Rev.  Donald, rector",Gallaudet,unclear how often,-73.9393554,40.8417082
1877,unnamed Church,"West Henniker, NH",1,unlisted,Turner,unclear how often,-71.8222872,43.1798323
1877,All Saints' Church,"Worcester, MA",1,unlisted,"Gallaudet, Mann, Turner ",Occasional services,-71.8022934,42.2625932
1877,St. John's Church,"York, PA",1,unlisted,Clerc,unclear how often,-76.727745,39.9625984
1878,St. Paul's Church,"Albany, NY",4,"Rev.  Harrison, rector","Gallaudet, Mann",quarterly services,-73.7562317,42.6525793
1878,Grace Church,"Allentown, PA",52,unlisted,Roberts,unclear how often,-75.4901833,40.6084305
1878,St. Andrew's Church,"Ann Arbor, MI",1,unlisted,"Gallaudet, Mann",at least once,-83.7430378,42.2808256
1878,St. Ann's Church,"Annapolis, MD",1,unlisted,Turner,unclear how often,-76.4921829,38.9784453
1878,St. Philip's Church,"Atlanta, GA",1,unlisted,Turner,at least once,-84.3879824,33.7489954
1878,St. Peter's Church,"Auburn, NY",1,"Rev.  Brainard, rector",Gallaudet,unclear how often,-76.5660529,42.9317335
1878,unnamed Church,"Augusta, ME",1,unlisted,Turner,unclear how often,-69.7794897,44.3106241
1878,Texas Institution for the Deaf and Dumb,"Austin, TX",1,unlisted,Turner,unclear how often,-97.7430608,30.267153
1878,Christ Church,"Ballston, NY",1,unlisted,Gallaudet,unclear how often,-73.874722,42.953333
1878,Grace Church,"Baltimore, MD",13,"Rev.  Leeds, rector","Gallaude t(2), Chamberlian(5), Turner (1)",monthly,-76.6121893,39.2903848
1878,unnamed Church,"Bangor, ME",1,unlisted,Turner,unclear how often,-68.7778138,44.8011821
1878,unnamed Church,"Baton Rouge, LA",1,unlisted,Turner,unclear how often,-91.1403196,30.4582829
1878,Church of the Good Shepherd,"Boston, MA",1,unlisted,Gallaudet,unclear how often,-71.060097,42.3584865
1878,St. Paul's Church,"Boston, MA",12,unlisted,"Turner, Chamberlain (2)",second Sunday each month,-71.060097,42.3584865
1878,St. Paul's Church,"Boston, MA",12,unlisted,Gallaudet,once a month,-71.060097,42.3584865
1878,St. Paul's Church,"Boston, MA",3,unlisted,Turner,unclear how often,-71.060097,42.3584865
1878,St. Paul's Church,"Bridgeport, CT",1,unlisted, Beers,unclear how often,-73.1951767,41.1865478
1878,Christ Church,"Brooklyn, NY",12,Rev.  Partridge,Gallaudet,fourth Sunday each month,-73.9441579,40.6781784
1878,St. Ann's Church,"Brooklyn, NY",1,"Rev.  Schenck, rector",Gallaudet,at least once,-73.9441579,40.6781784
1878,St. Mary's Church,"Brooklyn, NY",1,"Rev.  Johnson, rector","Gallaudet, Chamberlain, Lewis","Second Sunday each month. Moved to the Chapel of St. Ann's Church in Brooklyn, Rev.  Schenck, rector",-73.9441579,40.6781784
1878,St. John's Church,"Buffalo, NY",3,unlisted,"Gallaudet (2), Mann (1)",unclear how often,-78.8783689,42.8864468
1878,St. Peter's Church,"Cambridgeport, MA",2,"Rev.  Gushee, rector",Gallaudet,unclear how often,-71.1077157,42.3595761
1878,Georgia Institution for Deaf and Dumb,"Cave Spring, GA",1,unlisted,Turner,unclear how often,-85.3363434,34.1075975
1878,South Carolina School for the Deaf,"Cedar Spring, SC",1,unlisted,Turner,unclear how often,-82.529864,34.515606
1878,unnamed Church,"Charleston, SC",1,unlisted,Turner,unclear how often,-79.9310512,32.7764749
1878,St. Peter's Church,"Charlotte, NC",1,unlisted,Turner,unclear how often,-80.8431267,35.2270869
1878,Cathedral of St. Peter and St. Paul,"Chicago, IL",2,unlisted,"Gallaudet, Mann",at least twice,-87.6297982,41.8781136
1878,Grace Church,"Chicago, IL",1,"Rev.  Locke, rector","Gallaudet, Mann",unclear how often,-87.6297982,41.8781136
1878,unnamed Church,"Chicago, IL",1,unlisted,Turner,unclear how often,-87.6297982,41.8781136
1878,St. James' Church,"Chicago, IL",16,unlisted,"Holmes (layreader), Gallaudet, Mann (13)",unclear how often,-87.6297982,41.8781136
1878,Christ Church,"Cincinnati, OH",2,unlisted,"Gallaudet, Mann, Turner",unclear how often,-84.5120196,39.1031182
1878,St. John's Church,"Cincinnati, OH",6,unlisted,"McGregor, Mann (6)",unclear how often,-84.5120196,39.1031182
1878,Grace Church,"Cleveland, OH",18,unlisted,"Gallaudet (1), Mann (17)",unclear how often,-81.6943605,41.49932
1878,St. Paul's Church,"Cleveland, OH",1,Rev.  Bolles,"Gallaudet, Mann",at least once,-81.6943605,41.49932
1878,St. John's Church,"Cohoes, NY",1,unlisted,Gallaudet,at least once,-73.7001187,42.7742446
1878,unnamed Church,"Columbia, SC",1,unlisted,Turner,unclear how often,-81.0348144,34.0007104
1878,St. Paul's Church,"Columbus, OH",2,unlisted,"Gallaudet, Mann, Turner",at least twice,-82.9987942,39.9611755
1878,St. Paul's Church,"Concord, NH",1,unlisted,Turner,unclear how often,-71.5375718,43.2081366
1878,Emmanuel Church,"Coopersville, MI",2,unlisted,Mann,unclear how often,-85.9347667,43.0639112
1878,Kentucky Institution,"Danville, KY",1,unlisted,Turner,unclear how often,-84.7721702,37.6456329
1878,Christ Church,"Dayton, OH",5,unlisted,Mann,unclear how often,-84.1916069,39.7589478
1878,St. Peter's Church,"Delaware, OH",2,unlisted,Mann,unclear how often,-83.067965,40.2986724
1878,St. John's Church,"Detroit, MI",6,unlisted,Mann,unclear how often,-83.0457538,42.331427
1878,St. Paul's Church,"Detroit, MI",1,unlisted,"Gallaudet, Mann",at least once,-83.0457538,42.331427
1878,Trinity Church,"Elizabeth, NJ",1,"Rev.  McAllister, rector",Gallaudet,at least once,-74.2107006,40.6639916
1878,St. Paul's Church,"Erie, PA",1,"Rev.  Mills, rector","Gallaudet, Mann, Hilliard, Moore",at least once,-80.085059,42.1292241
1878,Church of the Ascension,"Fall River, MA",1,Rev.  Fitch,Gallaudet,at least once,-71.1550451,41.7014912
1878,Michigan Institution,"Flint, MI",1,unlisted,Turner,unclear how often,-83.6874562,43.0125274
1878,St. Paul's Church,"Flint, MI",6,unlisted,Mann,unclear how often,-83.6874562,43.0125274
1878,Trinity Church,"Fort Wayne, IN",1,"Rev.  Tate, rector","Gallaudet, Mann",at least once,-85.1393513,41.079273
1878,unnamed Church,"Frederick City, MD",1,unlisted,Turner,unclear how often,-77.4105409,39.4142688
1878,Grace Church,"Galesburg, IL",2,"Rev.  Higgins, rector","Gallaudet (1), Mann (1)",unclear how often,-90.3712395,40.9478158
1878,Trinity Church,"Galveston, TX",1,unlisted,Turner,unclear how often,-94.7976958,29.3013479
1878,Trinity Church,"Geneva, NY",2,Rev.  Nelson,Gallaudet,at least twice,-76.985557,42.8679836
1878,Church of the Messiah,"Glenn's Falls, NY",1,"Rev.  Olin, rector",Gallaudet,at least once,-73.6440058,43.3095164
1878,St. John's Church,"Hagerstown, MD",1,unlisted,Gallaudet,at least once,-77.7199932,39.6417629
1878,St. Andrew's Church,"Harlem, NY",12,"Rev.  Earp, rector","Gallaudet, Chamberlain, Lewis",third Sunday each month,-73.9464769,40.8115504
1878,Congregational Church of Henniker,"Henniker, NH",2,"Rev.  Hoffman, pastor","Gallaudet, Turner",unclear how often,-71.8222872,43.1798323
1878,Christ Church,"Indianapolis, IN",6,Rev.  Schuyler,"Gallaudet (1), Mann (5)",unclear how often,-86.158068,39.768403
1878,St. Paul's Cathedral,"Indianapolis, IN",1,unlisted,"Gallaudet, Mann",at least once,-86.158068,39.768403
1878,St. Paul's Church,"Jackson, MI",7,unlisted,"Gallaudet (1), Mann (6)",unclear how often,-84.4013462,42.245869
1878,St. Paul's Church,"Jackson, MI",6,unlisted,Mann,unclear how often,-84.4013462,42.245869
1878,Trinity Church,"Jacksonville, IL",3,unlisted,"Gallaudet (1), Mann (1), Turner (1)",unclear how often,-90.2290098,39.733936
1878,unnamed Church,"Jacksonville, MS",1,unlisted,Turner,unclear how often,-89.601079,30.2404881
1878,unnamed Church,"Lewiston, ME",1,unlisted,Turner,unclear how often,-70.2147764,44.100351
1878,Christ Church,"Louisville, KY",2,unlisted,"Mann, Turner",unclear how often,-85.7584557,38.2526647
1878,Grace Church,"Mansfield, OH",1,"Rev.  Bronson, rector","Gallaudet, Mann",unclear how often,-82.5154471,40.75839
1878,St. Michael's Church,"Marblehead, MA",1,unlisted,Gallaudet,at least once,-70.8578024,42.4999582
1878,St. Paul's Church,"Marion, OH",1,unlisted,Mann,unclear how often,-83.1285242,40.5886699
1878,Grace Church,"Mexico, NY",2,"Rev.  Cross, rector",Gallaudet,unclear how often,-76.2288176,43.4595138
1878,Grace Church,"Mexico, NY",2,unlisted,Turner,unclear how often,-76.2288176,43.4595138
1878,Trinity Church,"Michigan City, IN",1,unlisted,Mann,unclear how often,-86.8950297,41.7075394
